Theta ;Theta  rad;r(theta) Haumea;X Haumea;Y Haumea;X trans Haumea;Y trans Haumea;phi* (deg);Ts;Ts en jours ;T_win(s);T_win [JJ HH MM SS];Next window
0;0;149597870;6447668197;0;149597870;0;114.1327562;31670122.53;366.5523442;879725.626;10J 4H 22M 6S;356.3703346
1;0.017453293;149608998.7;6446686186;112527325.9;149586212.6;2611037.053;;;;;;
2;0.034906585;149642391.5;6443740452;225020375;149551233.4;5222444.15;;;;;;
3;0.052359878;149698068;6438831892;337444880.6;149492912;7834591.536;;;;;;
4;0.06981317;149776060.9;6431962001;449766597.3;149411214;10447849.86;;;;;;
5;0.087266463;149876416.2;6423132873;561951310.7;149306091.2;13062590.37;;;;;;
6;0.104719755;149999193;6412347196;673964848.3;149177481.7;15679185.14;;;;;;
7;0.122173048;150144463.8;6399608256;785773089.7;149025309.7;18298007.22;;;;;;
8;0.13962634;150312314.4;6384919933;897341976.9;148849485.3;20919430.9;;;;;;
9;0.157079633;150502844.1;6368286702;1008637525;148649904.3;23543831.9;;;;;;
10;0.174532925;150716165.8;6349713629;1119625833;148426448.5;26171587.53;;;;;;
11;0.191986218;150952406.2;6329206372;1230273091;148178985.3;28803076.97;;;;;;
12;0.20943951;151211705.9;6306771177;1340545597;147907367.3;31438681.44;;;;;;
13;0.226892803;151494219.6;6282414879;1450409759;147611432.6;34078784.42;;;;;;
14;0.244346095;151800116.2;6256144896;1559832112;147291004;36723771.87;;;;;;
15;0.261799388;152129579.2;6227969231;1668779326;146945889.5;39374032.43;;;;;;
16;0.27925268;152482806.9;6197896466;1777218213;146575881.5;42029957.69;;;;;;
17;0.296705973;152860012.2;6165935762;1885115742;146180756.7;44691942.35;;;;;;
18;0.314159265;153261423.7;6132096854;1992439047;145760275.7;47360384.51;;;;;;
19;0.331612558;153687285.4;6096390050;2099155435;145314183.1;50035685.86;;;;;;
20;0.34906585;154137856.9;6058826226;2205232401;144842206.7;52718251.92;;;;;;
21;0.366519143;154613414.5;6019416825;2310637631;144344057.4;55408492.31;;;;;;
22;0.383972435;155114250.5;5978173852;2415339019;143819428.7;58106820.97;;;;;;
23;0.401425728;155640674.6;5935109869;2519304671;143267996.3;60813656.41;;;;;;
24;0.41887902;156193013.5;5890237994;2622502918;142689418;63529421.99;;;;;;
25;0.436332313;156771612;5843571895;2724902326;142083332.7;66254546.14;;;;;;
26;0.453785606;157376832.8;5795125788;2826471702;141449360.3;68989462.66;;;;;;
27;0.471238898;158009057.5;5744914429;2927180107;140787101.1;71734610.99;;;;;;
28;0.488692191;158668687;5692953114;3026996865;140096135.3;74490436.47;;;;;;
29;0.506145483;159356141.9;5639257670;3125891570;139376022.2;77257390.66;;;;;;
30;0.523598776;160071863.2;5583844454;3223834099;138626299.9;80035931.59;;;;;;
31;0.541052068;160816312.7;5526730344;3320794616;137846484.7;82826524.1;;;;;;
32;0.558505361;161589974;5467932739;3416743587;137036069.8;85629640.14;;;;;;
33;0.575958653;162393353;5407469549;3511651785;136194525.6;88445759.07;;;;;;
34;0.593411946;163226978.4;5345359191;3605490300;135321298;91275368;;;;;;
35;0.610865238;164091402.9;5281620584;3698230547;134415808.2;94118962.14;;;;;;
36;0.628318531;164987203.7;5216273145;3789844278;133477451.6;96977045.13;;;;;;
37;0.645771823;165914983.1;5149336779;3880303585;132505597.1;99850129.39;;;;;;
38;0.663225116;166875370;5080831875;3969580915;131499586.1;102738736.5;;;;;;
39;0.680678408;167869020.5;5010779300;4057649071;130458731.3;105643397.6;;;;;;
40;0.698131701;168896618.7;4939200393;4144481228;129382316.2;108564653.8;;;;;;
41;0.715584993;169958877.9;4866116958;4230050937;128269593.4;111503056.4;;;;;;
42;0.733038286;171056541.8;4791551257;4314332130;127119783.9;114459167.5;;;;;;
43;0.750491578;172190385.5;4715526003;4397299137;125932075.8;117433560.5;;;;;;
44;0.767944871;173361216.8;4638064353;4478926683;124705623.1;120426820.4;;;;;;
45;0.785398163;174569877.3;4559189905;4559189905;123439544;123439544;;;;;;
46;0.802851456;175817243.9;4478926683;4638064353;122132920.1;126472341.1;;;;;;
47;0.820304748;177104230.1;4397299137;4715526003;120784794.5;129525834.2;;;;;;
48;0.837758041;178431787.5;4314332130;4791551257;119394170.2;132600659.6;;;;;;
49;0.855211333;179800907.5;4230050937;4866116958;117960008.8;135697467.5;;;;;;
50;0.872664626;181212622.8;4144481228;4939200393;116481228.7;138816922.7;;;;;;
51;0.890117919;182668009.1;4057649071;5010779300;114956702.9;141959705.6;;;;;;
52;0.907571211;184168187;3969580915;5080831875;113385257.7;145126511.8;;;;;;
53;0.925024504;185714323.9;3880303585;5149336779;111765670.1;148318053.8;;;;;;
54;0.942477796;187307636.1;3789844278;5216273145;110096666.1;151535060.8;;;;;;
55;0.959931089;188949390.8;3698230547;5281620584;108376918.2;154778279.8;;;;;;
56;0.977384381;190640908.7;3605490300;5345359191;106605043.2;158048476.2;;;;;;
57;0.994837674;192383565.8;3511651785;5407469549;104779599.6;161346434.4;;;;;;
58;1.012290966;194178796.4;3416743587;5467932739;102899084.9;164672958.6;;;;;;
59;1.029744259;196028095.6;3320794616;5526730344;100961933;168028873.6;;;;;;
60;1.047197551;197933022.2;3223834099;5583844454;98966511.08;171415025.4;;;;;;
61;1.064650844;199895201.4;3125891570;5639257670;96911116.68;174832282.5;;;;;;
62;1.082104136;201916328.3;3026996865;5692953114;94793974.22;178281536.1;;;;;;
63;1.099557429;203998171;2927180107;5744914429;92613231.62;181763701.3;;;;;;
