X terre;Y terre
149597870;0
149575085.5;2610842.829
149506739;5220890.371
149392851.3;7829347.578
149233457.1;10435419.89
149028604.9;13038313.47
148778357.2;15637235.46
148482790.2;18231394.19
148141993.8;20819999.46
147756072;23402262.76
147325142.2;25977397.51
146849335.8;28544619.29
146328797.6;31103146.09
145763686.3;33652198.58
145154173.9;36191000.29
144500446.2;38718777.86
143802702.2;41234761.32
143061154.6;43738184.27
142276029.1;46228284.15
141447565;48704302.45
140576014.5;51165484.94
139661643.3;53611081.93
138704729.7;56040348.46
137705565.4;58452544.56
136664454.6;60846935.46
135581714.5;63222791.78
134457674.9;65579389.83
133292678.2;67916011.76
132087079.2;70231945.82
130841245.2;72526486.54
129555555.8;74798935
128230402.4;77048598.98
126866188.8;79274793.2
125463330.6;81476839.56
124022255;83654067.28
122543401;85805813.16
121027219.2;87931421.76
119474171.2;90030245.6
117884730.3;92101645.35
116259380.5;94144990.05
114598617;96159657.27
112902945.7;98145033.33
111172883;100100513.5
109408956;102025502
107611701.9;103919412.6
105781668.3;105781668.3
103919412.6;107611701.9
102025502;109408956
100100513.5;111172883
98145033.33;112902945.7
96159657.27;114598617
94144990.05;116259380.5
92101645.35;117884730.3
90030245.6;119474171.2
87931421.76;121027219.2
85805813.16;122543401
83654067.28;124022255
81476839.56;125463330.6
79274793.2;126866188.8
77048598.98;128230402.4
74798935;129555555.8
72526486.54;130841245.2
70231945.82;132087079.2
67916011.76;133292678.2
65579389.83;134457674.9
63222791.78;135581714.5
60846935.46;136664454.6
58452544.56;137705565.4
56040348.46;138704729.7
53611081.93;139661643.3
51165484.94;140576014.5
48704302.45;141447565
46228284.15;142276029.1
43738184.27;143061154.6
41234761.32;143802702.2
38718777.86;144500446.2
36191000.29;145154173.9
33652198.58;145763686.3
31103146.09;146328797.6
28544619.29;146849335.8
25977397.51;147325142.2
23402262.76;147756072
20819999.46;148141993.8
18231394.19;148482790.2
15637235.46;148778357.2
13038313.47;149028604.9
10435419.89;149233457.1
7829347.578;149392851.3
5220890.371;149506739
2610842.829;149575085.5
9.16398E-09;149597870
-2610842.829;149575085.5
-5220890.371;149506739
-7829347.578;149392851.3
-10435419.89;149233457.1
-13038313.47;149028604.9
-15637235.46;148778357.2
-18231394.19;148482790.2
-20819999.46;148141993.8
-23402262.76;147756072
