Theta;Theta rad;r(teta) Uranus;X Uranus;Y Uranus;X trans Uranus;Y trans Uranus;;phi* (deg);Ts;Ts en jours ;delta T_win(s); delta T_win [JJ HH MM SS];Next window;;;;
0;0;149597870;2874971866;0;149597870;0;;111.3291353;31937279.96;369.644444;887146.6656;10J 6H 25M 47S;359.3765428;;;;
1;0.017453293;149608670.2;2874533994;50175177.5;149585884.1;2611031.319;;;;;;;;;;;
2;0.034906585;149641077;2873220510;100335071.1;149549919.7;5222398.273;;;;;;;;;;;
3;0.052359878;149695108.5;2871031817;150464401.8;149489956.5;7834436.647;;;;;;;;;;;
4;0.06981317;149770795.1;2867968579;200547899.5;149405960.9;10447482.53;;;;;;;;;;;
5;0.087266463;149868179.3;2864031730;250570308.3;149297885.7;13061872.49;;;;;;;;;;;
6;0.104719755;149987316.1;2859222469;300516391.1;149165669.9;15677943.66;;;;;;;;;;;
7;0.122173048;150128272.5;2853542261;350370933.6;149009239.1;18296033.99;;;;;;;;;;;
8;0.13962634;150291128;2846992837;400118749.7;148828505.1;20916482.33;;;;;;;;;;;
9;0.157079633;150475974.6;2839576191;449744685.8;148623365.7;23539628.59;;;;;;;;;;;
10;0.174532925;150682917;2831294583;499233625.3;148393704.9;26165813.94;;;;;;;;;;;
11;0.191986218;150912072.3;2822150535;548570493.4;148139392.5;28795380.91;;;;;;;;;;;
12;0.20943951;151163570.8;2812146833;597740261.6;147860284.1;31428673.6;;;;;;;;;;;
13;0.226892803;151437555.6;2801286523;646727952.4;147556220.9;34066037.8;;;;;;;;;;;
14;0.244346095;151734183;2789572914;695518643.5;147227029.3;36707821.18;;;;;;;;;;;
15;0.261799388;152053622.6;2777009575;744097473;146872521.1;39354373.41;;;;;;;;;;;
16;0.27925268;152396057.7;2763600331;792449643.1;146492492.9;42006046.39;;;;;;;;;;;
17;0.296705973;152761685.3;2749349268;840560425.4;146086726.2;44663194.35;;;;;;;;;;;
18;0.314159265;153150716.3;2734260727;888415164.8;145654986.7;47326174.05;;;;;;;;;;;
19;0.331612558;153563376.1;2718339303;935999284.4;145197024.6;49995344.94;;;;;;;;;;;
20;0.34906585;153999904.3;2701589847;983298289.6;144712573.6;52671069.33;;;;;;;;;;;
21;0.366519143;154460555.6;2684017461;1030297772;144201351.3;55353712.59;;;;;;;;;;;
22;0.383972435;154945599.7;2665627496;1076983417;143663058.4;58043643.26;;;;;;;;;;;
23;0.401425728;155455321.8;2646425556;1123341001;143097378.2;60741233.3;;;;;;;;;;;
24;0.41887902;155990022.8;2626417489;1169356406;142503976.8;63446858.24;;;;;;;;;;;
25;0.436332313;156550020.1;2605609389;1215015612;141882502.2;66160897.35;;;;;;;;;;;
26;0.453785606;157135647.1;2584007596;1260304714;141232584.1;68883733.84;;;;;;;;;;;
27;0.471238898;157747254.8;2561618689;1305209914;140553833.2;71615755.05;;;;;;;;;;;
28;0.488692191;158385211.2;2538449488;1349717535;139845841;74357352.63;;;;;;;;;;;
29;0.506145483;159049902.4;2514507051;1393814018;139108179;77108922.76;;;;;;;;;;;
30;0.523598776;159741732.7;2489798671;1437485933;138340398.5;79870866.33;;;;;;;;;;;
31;0.541052068;160461125.4;2464331874;1480719975;137542029.7;82643589.13;;;;;;;;;;;
32;0.558505361;161208523.3;2438114417;1523502976;136712581.3;85427502.08;;;;;;;;;;;
33;0.575958653;161984389.2;2411154287;1565821903;135851539.7;88223021.43;;;;;;;;;;;
34;0.593411946;162789206.4;2383459697;1607663865;134958368.5;91030568.96;;;;;;;;;;;
35;0.610865238;163623479.4;2355039081;1649016117;134032507.7;93850572.23;;;;;;;;;;;
36;0.628318531;164487734.9;2325901098;1689866063;133073372.9;96683464.75;;;;;;;;;;;
37;0.645771823;165382521.9;2296054622;1730201260;132080354.8;99529686.26;;;;;;;;;;;
38;0.663225116;166308413;2265508746;1770009420;131052817.9;102389682.9;;;;;;;;;;;
39;0.680678408;167266004.9;2234272775;1809278419;129990100.2;105263907.6;;;;;;;;;;;
40;0.698131701;168255919;2202356222;1847996293;128891511.8;108152820;;;;;;;;;;;
41;0.715584993;169278802.8;2169768810;1886151251;127756334.2;111056887;;;;;;;;;;;
42;0.733038286;170335330.4;2136520465;1923731668;126583819.4;113976582.9;;;;;;;;;;;
