Theta deg;Theta  rad;r(deg) Vesta;X Vesta;Y Vesta;X trans Vesta;Y trans Vesta;phi* (deg);Ts;Ts en jours ;deltaT_win(s);deltaT_win [JJ HH MM SS];Next window;;;;
0;0;149597870;353050973.2;0;149597870;0;71.88936375;43578072.5;504.3758391;1210502.014;14J 0H 15M 2S;490.3653991;;;;
1;0.017453293;149604435.3;352997201.8;6161589.077;149581649.8;2610957.41;;;;;;;;;;
2;0.034906585;149624132.7;352835904.1;12321301.28;149532985.7;5221806.925;;;;;;;;;;
3;0.052359878;149656966.5;352567129.1;18477260.28;149451866.8;7832440.451;;;;;;;;;;
4;0.06981317;149702944.1;352190958.8;24627590.94;149338275.2;10442749.49;;;;;;;;;;
5;0.087266463;149762075.6;351707507.7;30770419.8;149192185.7;13052624.93;;;;;;;;;;
6;0.104719755;149834374.1;351116923;36903875.68;149013565.7;15661956.87;;;;;;;;;;
7;0.122173048;149919855.7;350419384.8;43026090.29;148802375.9;18270634.38;;;;;;;;;;
8;0.13962634;150018539.4;349615105.4;49135198.74;148558569.2;20878545.32;;;;;;;;;;
9;0.157079633;150130446.8;348704329.9;55229340.12;148282091.9;23485576.14;;;;;;;;;;
10;0.174532925;150255602.9;347687335.6;61306658.12;147972882.7;26091611.64;;;;;;;;;;
11;0.191986218;150394035.3;346564432.4;67365301.51;147630873.3;28696534.79;;;;;;;;;;
12;0.20943951;150545774.5;345335962.4;73403424.78;147255988.2;31300226.53;;;;;;;;;;
13;0.226892803;150710854.1;344002299.6;79419188.66;146848144.6;33902565.52;;;;;;;;;;
14;0.244346095;150889310.3;342563850.5;85410760.68;146407252.9;36503427.96;;;;;;;;;;
15;0.261799388;151081182.4;341021053;91376315.76;145933215.9;39102687.35;;;;;;;;;;
16;0.27925268;151286512.5;339374377.3;97314036.72;145425929.6;41700214.29;;;;;;;;;;
17;0.296705973;151505345.8;337624324.8;103222114.9;144885282.7;44295876.23;;;;;;;;;;
18;0.314159265;151737730.1;335771428.6;109098750.6;144311156.9;46889537.27;;;;;;;;;;
19;0.331612558;151983716.1;333816253.3;114942153.8;143703426.7;49481057.95;;;;;;;;;;
20;0.34906585;152243357.5;331759394.3;120750544.5;143061959.6;52070294.96;;;;;;;;;;
21;0.366519143;152516710.9;329601478.1;126522153.4;142386616;54657100.96;;;;;;;;;;
22;0.383972435;152803835.5;327343162.2;132255222.4;141677249.2;57241324.3;;;;;;;;;;
23;0.401425728;153104793.7;324985134.3;137948005.2;140933705.7;59822808.81;;;;;;;;;;
24;0.41887902;153419650.3;322528112.9;143598767.7;140155824.6;62401393.53;;;;;;;;;;
25;0.436332313;153748473.2;319972846.2;149205788.6;139343438.5;64976912.5;;;;;;;;;;
26;0.453785606;154091333.1;317320112.8;154767360;138496372.8;67549194.42;;;;;;;;;;
27;0.471238898;154448303.5;314570720.5;160281787.8;137614446.1;70118062.49;;;;;;;;;;
28;0.488692191;154819460.5;311725506.9;165747392.1;136697470;72683334.07;;;;;;;;;;
29;0.506145483;155204883.1;308785338.8;171162508.2;135745249.4;75244820.44;;;;;;;;;;
30;0.523598776;155604653;305751111.6;176525486.6;134757582.5;77802326.52;;;;;;;;;;
31;0.541052068;156018854.8;302623749.7;181834693.6;133734260.6;80355650.61;;;;;;;;;;
32;0.558505361;156447575.4;299404205.7;187088512;132675068.5;82904584.04;;;;;;;;;;
33;0.575958653;156890904.7;296093460.2;192285341.4;131579784.2;85448910.96;;;;;;;;;;
34;0.593411946;157348935.3;292692521.8;197423598.8;130448179.3;87988407.97;;;;;;;;;;
35;0.610865238;157821762.1;289202426.4;202501719.1;129280019;90522843.86;;;;;;;;;;
36;0.628318531;158309482.8;285624237.2;207518155.4;128075061.9;93051979.28;;;;;;;;;;
37;0.645771823;158812197.7;281959044.1;212471379.6;126833060.5;95575566.41;;;;;;;;;;
38;0.663225116;159330009.4;278207963.5;217359883;125553760.8;98093348.67;;;;;;;;;;
39;0.680678408;159863023.3;274372138;222182176.5;124236903;100605060.4;;;;;;;;;;
40;0.698131701;160411347;270452736.2;226936791.2;122882221;103110426.3;;;;;;;;;;
41;0.715584993;160975090.5;266450951.8;231622278.7;121489443;105609161.5;;;;;;;;;;
42;0.733038286;161554366.2;262368003.9;236237211.8;120058291.2;108100971;;;;;;;;;;
43;0.750491578;162149288.7;258205136.1;240780184.7;118588482.5;110585549;;;;;;;;;;
44;0.767944871;162759975.1;253963616.6;245249813.7;117079728;113062579.1;;;;;;;;;;
45;0.785398163;163386544.3;249644737.3;249644737.3;115531733.4;115531733.4;;;;;;;;;;
46;0.802851456;164029117.6;245249813.7;253963616.6;113944199.5;117992672.7;;;;;;;;;;
47;0.820304748;164687818.1;240780184.7;258205136.1;112316821.8;120445045.4;;;;;;;;;;
48;0.837758041;165362770.9;236237211.8;262368003.9;110649291.2;122888487.6;;;;;;;;;;
49;0.855211333;166054103.2;231622278.7;266450951.8;108941293.7;125322622.6;;;;;;;;;;
50;0.872664626;166761943.8;226936791.2;270452736.2;107192511.2;127747060.4;;;;;;;;;;
51;0.890117919;167486423.1;222182176.5;274372138;105402621.3;130161397.3;;;;;;;;;;
52;0.907571211;168227673.2;217359883;278207963.5;103571297.5;132565215.5;;;;;;;;;;
53;0.925024504;168985827.7;212471379.6;281959044.1;101698209.8;134958082.7;;;;;;;;;;
54;0.942477796;169761021.6;207518155.4;285624237.2;99783024.9;137339551.4;;;;;;;;;;
55;0.959931089;170553391;202501719.1;289202426.4;97825406.24;139709158.9;;;;;;;;;;
56;0.977384381;171363073.4;197423598.8;292692521.8;95825014.56;142066426.4;;;;;;;;;;
57;0.994837674;172190206.9;192285341.4;296093460.2;93781508.15;144410858.6;;;;;;;;;;
58;1.012290966;173034930.8;187088512;299404205.7;91694543.23;146741943.7;;;;;;;;;;
59;1.029744259;173897384.9;181834693.6;302623749.7;89563774.35;149059152;;;;;;;;;;
60;1.047197551;174777709.5;176525486.6;305751111.6;87388854.75;151361936.4;;;;;;;;;;
61;1.064650844;175676045.3;171162508.2;308785338.8;85169436.82;153649731.3;;;;;;;;;;
62;1.082104136;176592533.2;165747392.1;311725506.9;82905172.56;155921952.1;;;;;;;;;;
63;1.099557429;177527314.1;160281787.8;314570720.5;80595714.04;158177995.1;;;;;;;;;;
64;1.117010721;178480528.4;154767360;317320112.8;78240713.92;160417236.3;;;;;;;;;;
65;1.134464014;179452316.4;149205788.6;319972846.2;75839826.01;162639031.7;;;;;;;;;;
